agent,timestep,location,x,y,orientation
4,195,129,9,4,-1
4,196,130,10,4,-1
4,197,131,11,4,-1
4,198,132,12,4,-1
4,199,133,13,4,-1
0,200,131,11,4,-1
0,201,130,10,4,-1
0,202,129,9,4,-1
0,203,128,8,4,-1
0,204,127,7,4,-1
1,200,604,4,20,-1
1,201,574,4,19,-1
1,202,544,4,18,-1
1,203,514,4,17,-1
1,204,484,4,16,-1
2,200,685,25,22,-1
2,201,715,25,23,-1
2,202,745,25,24,-1
2,203,775,25,25,-1
2,204,805,25,26,-1
3,200,764,14,25,-1
3,201,763,13,25,-1
3,202,762,12,25,-1
3,203,761,11,25,-1
3,204,760,10,25,-1
4,200,134,14,4,-1
4,201,135,15,4,-1
4,202,134,14,4,-1
4,203,133,13,4,-1
4,204,132,12,4,-1
0,205,126,6,4,-1
0,206,125,5,4,-1
0,207,124,4,4,-1
0,208,125,5,4,-1
0,209,126,6,4,-1
1,205,454,4,15,-1
1,206,424,4,14,-1
1,207,394,4,13,-1
1,208,364,4,12,-1
1,209,334,4,11,-1
2,205,804,24,26,-1
2,206,803,23,26,-1
2,207,802,22,26,-1
2,208,801,21,26,-1
2,209,800,20,26,-1
3,205,759,9,25,-1
3,206,758,8,25,-1
3,207,757,7,25,-1
3,208,756,6,25,-1
3,209,755,5,25,-1
4,205,131,11,4,-1
4,206,130,10,4,-1
4,207,129,9,4,-1
4,208,128,8,4,-1
4,209,127,7,4,-1
0,210,96,6,3,-1
0,211,126,6,4,-1
0,212,127,7,4,-1
0,213,128,8,4,-1
0,214,129,9,4,-1
1,210,304,4,10,-1
1,211,274,4,9,-1
1,212,244,4,8,-1
1,213,214,4,7,-1
1,214,215,5,7,-1
2,210,799,19,26,-1
2,211,798,18,26,-1
2,212,797,17,26,-1
2,213,796,16,26,-1
2,214,766,16,25,-1
3,210,754,4,25,-1
3,211,724,4,24,-1
3,212,694,4,23,-1
3,213,664,4,22,-1
